"id","submitdate","Q16_2","j_reluuring_submitdate","j_reluuring_Q6","j_reluuring_Q13_2"
1,2014-05-06,0,2014-06-06,2,0
2,2014-05-06,4,2014-06-06,NA,0
3,2014-05-06,10,2014-06-10,3,9
5,2014-05-06,97,NA,NA,NA
6,2014-05-06,5,2014-06-06,1,5
7,2014-05-06,0,2014-06-09,NA,0
8,2014-05-06,9,2014-06-03,1,5
9,2014-05-06,9,2014-06-04,3,9
10,2014-05-06,8,2014-06-06,1,8
11,2014-05-06,97,NA,NA,NA
12,2014-05-06,7,2014-06-03,NA,9
13,2014-05-07,97,NA,NA,NA
14,2014-05-06,10,2014-06-04,NA,9
15,2014-05-06,0,2014-06-10,2,97
16,2014-05-06,10,2014-06-06,1,5
17,2014-05-06,4,2014-06-04,NA,3
19,2014-05-06,2,2014-06-05,NA,3
21,2014-05-06,10,NA,NA,NA
22,2014-05-06,10,2014-06-10,3,10
24,2014-05-06,5,NA,NA,NA
26,2014-05-06,6,2014-06-05,1,5
27,2014-05-06,10,2014-06-06,3,9
28,2014-05-06,2,NA,NA,NA
29,2014-05-07,9,2014-06-03,3,10
30,2014-05-07,10,2014-06-06,3,10
31,2014-05-07,6,NA,NA,NA
32,2014-05-07,10,NA,NA,NA
33,2014-05-07,0,NA,NA,NA
34,2014-05-07,8,2014-06-10,NA,8
35,2014-05-07,97,NA,NA,NA
36,2014-05-07,97,2014-06-04,NA,0
37,2014-05-07,7,2014-06-09,3,8
38,2014-05-07,97,2014-06-10,NA,97
39,2014-05-07,8,2014-06-03,NA,8
40,2014-05-07,8,NA,NA,NA
41,2014-05-07,2,NA,NA,NA
43,2014-05-07,10,2014-06-05,NA,10
44,2014-05-07,0,2014-06-04,2,0
45,2014-05-07,9,2014-06-05,3,9
46,2014-05-07,10,2014-06-10,1,0
47,2014-05-07,97,2014-06-05,NA,5
48,2014-05-07,97,2014-06-04,NA,97
49,2014-05-07,97,2014-06-05,1,97
50,2014-05-07,8,2014-06-05,1,5
51,2014-05-07,10,NA,NA,NA
52,2014-05-08,10,NA,NA,NA
54,2014-05-07,8,2014-06-06,3,9
56,2014-05-07,0,2014-06-06,1,0
58,2014-05-07,10,2014-06-03,1,9
59,2014-05-07,0,2014-06-05,NA,0
60,2014-05-07,97,2014-06-06,1,5
61,2014-05-07,10,2014-06-05,3,9
62,2014-05-07,5,2014-06-09,1,8
63,2014-05-07,10,2014-06-09,NA,10
64,2014-05-07,10,2014-06-04,3,10
65,2014-05-07,8,2014-06-05,NA,97
69,2014-05-07,9,2014-06-04,NA,9
70,2014-05-07,2,NA,NA,NA
71,2014-05-07,9,2014-06-06,3,8
72,2014-05-07,7,2014-06-05,1,2
73,2014-05-07,10,NA,NA,NA
74,2014-05-07,10,2014-06-03,1,10
76,2014-05-07,7,2014-06-11,1,97
77,2014-05-07,9,2014-06-05,2,9
79,2014-05-07,10,2014-06-03,NA,8
80,2014-05-07,5,NA,NA,NA
81,2014-05-07,10,2014-06-05,1,0
83,2014-05-07,0,2014-06-06,1,0
84,2014-05-07,8,2014-06-03,1,7
85,2014-05-07,9,NA,NA,NA
86,2014-05-07,10,2014-06-10,3,9
87,2014-05-07,8,2014-06-03,NA,8
88,2014-05-07,0,2014-06-11,NA,5
89,2014-05-07,97,NA,NA,NA
90,2014-05-07,10,2014-06-04,2,10
91,2014-05-07,10,2014-06-04,1,7
92,2014-05-07,3,2014-06-03,1,0
93,2014-05-07,7,NA,NA,NA
94,2014-05-07,8,2014-06-10,1,8
95,2014-05-07,10,2014-06-10,NA,9
96,2014-05-07,7,2014-06-05,NA,5
97,2014-05-07,0,NA,NA,NA
99,2014-05-07,7,2014-06-05,NA,8
100,2014-05-07,8,2014-06-05,NA,9
101,2014-05-07,0,2014-06-06,1,0
102,2014-05-07,7,NA,NA,NA
103,2014-05-07,9,2014-06-10,2,9
104,2014-05-07,6,2014-06-09,NA,8
105,2014-05-07,8,NA,NA,NA
106,2014-05-07,97,2014-06-05,2,97
107,2014-05-07,97,NA,NA,NA
108,2014-05-07,10,2014-06-04,3,7
109,2014-05-07,9,2014-06-04,3,8
110,2014-05-07,7,2014-06-04,3,7
111,2014-05-07,2,2014-06-04,2,97
112,2014-05-07,10,2014-06-09,NA,10
113,2014-05-07,6,2014-06-09,3,8
115,2014-05-07,10,2014-06-03,3,9
116,2014-05-07,2,2014-06-04,1,6
117,2014-05-07,97,NA,NA,NA
118,2014-05-07,10,2014-06-09,3,10
119,2014-05-07,10,2014-06-04,3,9
120,2014-05-07,7,NA,NA,NA
122,2014-05-07,9,2014-06-03,2,6
123,2014-05-07,97,NA,NA,NA
125,2014-05-08,10,NA,NA,NA
127,2014-05-08,8,2014-06-05,3,9
128,2014-05-08,3,2014-06-05,NA,10
129,2014-05-08,9,2014-06-09,3,8
130,2014-05-08,10,2014-06-09,NA,7
131,2014-05-08,97,NA,NA,NA
132,2014-05-08,7,2014-06-09,NA,7
133,2014-05-08,0,2014-06-03,NA,0
134,2014-05-08,9,2014-06-03,2,8
135,2014-05-08,8,NA,NA,NA
136,2014-05-08,10,2014-06-04,3,10
137,2014-05-08,4,2014-06-06,2,8
138,2014-05-08,5,2014-06-09,2,4
139,2014-05-08,0,2014-06-04,2,3
140,2014-05-08,0,NA,NA,NA
141,2014-05-08,10,2014-06-09,3,9
142,2014-05-08,8,2014-06-03,1,6
143,2014-05-08,97,NA,NA,NA
145,2014-05-08,10,NA,NA,NA
146,2014-05-08,9,2014-06-05,1,9
147,2014-05-08,10,2014-06-03,1,8
148,2014-05-08,97,2014-06-06,3,3
149,2014-05-08,10,2014-06-04,1,9
150,2014-05-08,10,2014-06-04,3,10
151,2014-05-08,8,2014-06-04,1,7
152,2014-05-08,10,NA,NA,NA
154,2014-05-08,7,NA,NA,NA
155,2014-05-08,8,2014-06-10,NA,8
157,2014-05-08,9,2014-06-04,NA,8
158,2014-05-08,0,2014-06-06,1,0
159,2014-05-08,97,2014-06-06,1,6
160,2014-05-08,7,2014-06-03,1,5
161,2014-05-08,0,2014-06-04,NA,0
162,2014-05-08,5,2014-06-11,NA,5
163,2014-05-08,9,2014-06-09,NA,8
164,2014-05-08,9,2014-06-05,2,9
165,2014-05-08,0,NA,NA,NA
166,2014-05-08,10,2014-06-05,3,9
167,2014-05-08,3,2014-06-05,1,5
168,2014-05-08,9,2014-06-09,NA,6
169,2014-05-08,9,2014-06-05,1,10
170,2014-05-08,97,NA,NA,NA
171,2014-05-09,0,2014-06-09,1,5
173,2014-05-09,8,2014-06-05,NA,6
174,2014-05-17,2,2014-06-05,2,1
175,2014-05-09,9,2014-06-06,3,9
176,2014-05-09,10,2014-06-03,3,10
177,2014-05-09,0,NA,NA,NA
178,2014-05-09,10,2014-06-09,3,10
179,2014-05-09,10,2014-06-06,3,7
180,2014-05-09,9,2014-06-04,NA,9
181,2014-05-09,10,NA,NA,NA
182,2014-05-09,10,2014-06-04,3,9
183,2014-05-09,97,NA,NA,NA
184,2014-05-09,10,NA,NA,NA
185,2014-05-09,97,2014-06-05,1,97
187,2014-05-09,2,2014-06-09,NA,3
188,2014-05-09,4,2014-06-03,NA,9
192,2014-05-09,9,2014-06-04,NA,10
196,2014-05-09,7,2014-06-05,1,10
198,2014-05-09,6,2014-06-05,NA,7
200,2014-05-09,9,2014-06-05,2,8
201,2014-05-09,2,2014-06-05,1,2
202,2014-05-09,7,2014-06-04,2,9
203,2014-05-09,8,NA,NA,NA
204,2014-05-09,0,2014-06-03,2,3
205,2014-05-09,10,2014-06-05,NA,10
206,2014-05-09,9,2014-06-05,3,10
207,2014-05-09,9,2014-06-09,NA,9
208,2014-05-09,8,NA,NA,NA
209,2014-05-09,9,2014-06-10,1,8
210,2014-05-09,8,2014-06-03,3,8
211,2014-05-09,10,2014-06-05,NA,10
212,2014-05-09,7,2014-06-10,3,9
213,2014-05-09,10,2014-06-03,3,10
214,2014-05-09,0,2014-06-09,1,0
215,2014-05-09,3,NA,NA,NA
216,2014-05-09,10,NA,NA,NA
217,2014-05-09,10,2014-06-06,3,9
218,2014-05-09,4,2014-06-09,1,7
219,2014-05-09,10,2014-06-05,3,10
220,2014-05-09,0,2014-06-10,NA,1
222,2014-05-09,97,NA,NA,NA
223,2014-05-09,7,2014-06-03,1,5
224,2014-05-09,8,NA,NA,NA
225,2014-05-09,8,2014-06-03,1,9
226,2014-05-09,97,NA,NA,NA
227,2014-05-09,3,2014-06-06,1,7
229,2014-05-09,97,2014-06-10,1,97
230,2014-05-09,0,2014-06-04,2,10
231,2014-05-09,8,2014-06-10,NA,7
232,2014-05-09,10,2014-06-10,3,10
233,2014-05-09,10,2014-06-09,1,10
235,2014-05-09,6,2014-06-06,2,5
236,2014-05-09,5,2014-06-10,1,4
237,2014-05-09,97,2014-06-06,2,97
238,2014-05-09,9,2014-06-05,NA,7
239,2014-05-09,0,2014-06-09,NA,0
240,2014-05-12,0,NA,NA,NA
241,2014-05-09,9,2014-06-05,NA,9
242,2014-05-09,0,2014-06-10,NA,0
243,2014-05-09,9,2014-06-04,3,9
245,2014-05-10,8,2014-06-10,3,7
247,2014-05-10,97,NA,NA,NA
248,2014-05-10,3,2014-06-04,1,4
249,2014-05-10,9,NA,NA,NA
252,2014-05-10,10,2014-06-05,2,10
253,2014-05-10,0,2014-06-06,NA,0
254,2014-05-10,10,2014-06-03,3,10
255,2014-05-10,10,NA,NA,NA
256,2014-05-10,10,NA,NA,NA
257,2014-05-10,97,2014-06-03,2,97
258,2014-05-10,8,2014-06-06,NA,5
259,2014-05-10,10,NA,NA,NA
260,2014-05-10,10,2014-06-05,3,9
261,2014-05-10,1,2014-06-09,NA,4
262,2014-05-10,0,NA,NA,NA
263,2014-05-10,8,2014-06-09,1,9
264,2014-05-10,5,2014-06-05,1,5
265,2014-05-10,7,2014-06-03,NA,6
266,2014-05-10,8,2014-06-05,3,97
267,2014-05-10,1,2014-06-04,NA,2
268,2014-05-10,8,2014-06-03,1,9
269,2014-05-10,5,2014-06-05,1,5
270,2014-05-10,2,NA,NA,NA
272,2014-05-10,5,2014-06-03,NA,5
274,2014-05-10,8,2014-06-06,NA,10
275,2014-05-10,97,NA,NA,NA
276,2014-05-10,97,2014-06-05,2,8
277,2014-05-10,9,2014-06-05,1,9
278,2014-05-10,97,2014-06-09,NA,1
279,2014-05-10,10,NA,NA,NA
280,2014-05-10,8,NA,NA,NA
281,2014-05-10,0,2014-06-06,1,0
282,2014-05-10,8,2014-06-06,1,9
283,2014-05-10,97,2014-06-05,2,8
284,2014-05-10,2,2014-06-05,NA,4
285,2014-05-10,7,2014-06-04,1,10
286,2014-05-11,9,2014-06-03,NA,10
287,2014-05-10,7,2014-06-10,1,7
289,2014-05-10,0,2014-06-09,NA,0
290,2014-05-10,0,NA,NA,NA
291,2014-05-10,0,2014-06-10,2,4
292,2014-05-10,10,2014-06-04,3,8
293,2014-05-10,0,NA,NA,NA
294,2014-05-10,97,2014-06-05,1,10
295,2014-05-10,8,2014-06-09,1,97
296,2014-05-10,0,2014-06-04,NA,0
297,2014-05-10,8,2014-06-10,1,9
299,2014-05-10,10,2014-06-05,1,3
300,2014-05-10,97,2014-06-09,1,8
301,2014-05-10,8,2014-06-10,NA,10
302,2014-05-10,7,2014-06-03,2,7
304,2014-05-10,10,NA,NA,NA
305,2014-05-10,7,2014-06-04,NA,5
306,2014-05-10,0,2014-06-05,1,3
307,2014-05-10,9,2014-06-05,3,10
308,2014-05-10,10,2014-06-04,3,10
309,2014-05-10,8,2014-06-09,3,8
310,2014-05-10,97,NA,NA,NA
311,2014-05-10,8,2014-06-09,3,8
312,2014-05-11,0,2014-06-05,1,0
315,2014-05-11,0,NA,NA,NA
316,2014-05-11,97,NA,NA,NA
317,2014-05-11,10,2014-06-10,3,10
318,2014-05-13,0,2014-06-05,1,97
319,2014-05-11,97,2014-06-10,NA,6
320,2014-05-11,10,NA,NA,NA
323,2014-05-11,6,NA,NA,NA
324,2014-05-11,9,2014-06-03,NA,0
325,2014-05-11,3,NA,NA,NA
326,2014-05-11,5,2014-06-03,1,97
327,2014-05-11,10,2014-06-06,1,10
328,2014-05-11,97,NA,NA,NA
329,2014-05-11,8,2014-06-05,1,9
330,2014-05-11,4,2014-06-05,2,5
331,2014-05-11,3,NA,NA,NA
332,2014-05-11,8,2014-06-10,NA,5
333,2014-05-11,5,2014-06-05,3,7
334,2014-05-11,0,2014-06-03,1,0
336,2014-05-11,10,NA,NA,NA
337,2014-05-11,0,NA,NA,NA
338,2014-05-11,10,2014-06-09,1,10
339,2014-05-11,7,2014-06-09,NA,97
340,2014-05-11,8,2014-06-04,NA,8
341,2014-05-11,9,2014-06-09,3,9
342,2014-05-11,0,2014-06-04,3,4
343,2014-05-11,10,2014-06-09,3,10
344,2014-05-11,9,2014-06-06,1,10
345,2014-05-11,9,2014-06-04,1,9
346,2014-05-13,0,NA,NA,NA
347,2014-05-12,0,2014-06-06,NA,0
348,2014-05-12,97,2014-06-06,2,10
349,2014-05-12,10,2014-06-03,3,9
350,2014-05-12,9,NA,NA,NA
351,2014-05-12,4,NA,NA,NA
353,2014-05-12,10,2014-06-04,3,10
356,2014-05-12,0,2014-06-09,2,3
357,2014-05-12,7,2014-06-04,1,5
358,2014-05-12,4,2014-06-03,2,5
359,2014-05-12,9,2014-06-06,NA,8
360,2014-05-12,7,NA,NA,NA
361,2014-05-12,0,2014-06-05,1,0
362,2014-05-12,9,2014-06-09,3,10
363,2014-05-12,7,2014-06-05,NA,8
364,2014-05-12,9,NA,NA,NA
365,2014-05-12,10,2014-06-04,NA,10
366,2014-05-12,10,2014-06-10,NA,10
367,2014-05-12,97,NA,NA,NA
368,2014-05-12,9,2014-06-05,2,8
370,2014-05-12,97,NA,NA,NA
371,2014-05-12,10,2014-06-04,3,9
372,2014-05-12,9,2014-06-03,1,9
374,2014-05-12,10,2014-06-06,2,9
375,2014-05-12,9,NA,NA,NA
376,2014-05-12,8,NA,NA,NA
377,2014-05-12,6,NA,NA,NA
378,2014-05-12,7,2014-06-06,2,7
379,2014-05-12,97,NA,NA,NA
380,2014-05-12,97,NA,NA,NA
381,2014-05-12,97,NA,NA,NA
382,2014-05-12,10,2014-06-09,1,4
383,2014-05-12,97,2014-06-06,1,0
384,2014-05-12,10,2014-06-03,NA,6
386,2014-05-12,4,NA,NA,NA
387,2014-05-12,9,NA,NA,NA
388,2014-05-12,10,2014-06-03,1,10
389,2014-05-12,97,2014-06-05,2,3
390,2014-05-12,97,2014-06-09,NA,5
391,2014-05-12,10,2014-06-09,NA,10
392,2014-05-12,8,2014-06-05,NA,8
393,2014-05-12,97,NA,NA,NA
394,2014-05-12,9,2014-06-11,3,9
395,2014-05-12,9,2014-06-06,3,10
396,2014-05-12,97,2014-06-10,NA,8
397,2014-05-12,9,2014-06-04,NA,6
398,2014-05-12,6,2014-06-09,1,97
399,2014-05-12,3,NA,NA,NA
401,2014-05-12,97,2014-06-03,1,97
402,2014-05-12,0,2014-06-04,1,4
403,2014-05-12,97,NA,NA,NA
404,2014-05-12,8,2014-06-09,1,5
405,2014-05-12,97,NA,NA,NA
407,2014-05-12,8,NA,NA,NA
408,2014-05-12,10,2014-06-06,3,10
409,2014-05-12,3,2014-06-03,NA,97
410,2014-05-12,7,2014-06-06,3,8
411,2014-05-12,9,2014-06-03,1,9
412,2014-05-12,97,NA,NA,NA
413,2014-05-12,9,2014-06-05,NA,9
414,2014-05-12,0,2014-06-05,1,97
415,2014-05-12,8,2014-06-10,3,8
416,2014-05-12,8,2014-06-05,3,8
417,2014-05-12,8,2014-06-04,3,10
418,2014-05-12,97,2014-06-10,1,9
419,2014-05-12,7,2014-06-05,NA,8
421,2014-05-12,97,2014-06-09,NA,9
422,2014-05-12,10,2014-06-04,3,10
423,2014-05-12,0,2014-06-05,1,0
424,2014-05-12,97,2014-06-03,2,8
425,2014-05-12,97,2014-06-05,NA,97
426,2014-05-12,5,NA,NA,NA
428,2014-05-12,10,2014-06-05,3,10
429,2014-05-12,97,2014-06-04,NA,0
431,2014-05-12,9,NA,NA,NA
432,2014-05-12,2,2014-06-09,NA,8
433,2014-05-12,8,2014-06-04,3,7
434,2014-05-12,10,2014-06-10,NA,9
435,2014-05-12,4,2014-06-10,NA,8
436,2014-05-12,8,2014-06-03,2,8
437,2014-05-12,0,NA,NA,NA
438,2014-05-12,10,2014-06-06,3,10
439,2014-05-12,8,NA,NA,NA
440,2014-05-12,8,2014-06-03,3,9
441,2014-05-12,10,NA,NA,NA
442,2014-05-12,5,NA,NA,NA
443,2014-05-12,97,2014-06-06,1,0
444,2014-05-12,10,2014-06-10,NA,9
445,2014-05-12,0,NA,NA,NA
446,2014-05-12,8,2014-06-10,3,10
448,2014-05-12,10,NA,NA,NA
449,2014-05-12,97,2014-06-11,NA,0
451,2014-05-12,5,NA,NA,NA
452,2014-05-12,9,2014-06-03,3,10
453,2014-05-12,9,2014-06-04,2,9
454,2014-05-12,10,2014-06-09,3,10
456,2014-05-12,10,2014-06-10,2,10
457,2014-05-12,8,2014-06-05,3,7
458,2014-05-12,7,NA,NA,NA
459,2014-05-12,97,2014-06-09,3,9
460,2014-05-12,97,NA,NA,NA
461,2014-05-12,10,2014-06-03,3,8
464,2014-05-12,97,NA,NA,NA
